doctor_id,doctor_name_zh,hospital_zh,department_zh,subdepartment_zh,specialty_raw_zh,source_url
CGMH_LINKOU_NEURO_034,吳禹利,林口長庚紀念醫院,神經內科,神經內科,癲癇症、癲癇外科手術立體定位等高科技治療、神經性疼痛、神經性睡眠障礙。,
CGMH_LINKOU_NEURO_035,鄭之光,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病,
CGMH_LINKOU_NEURO_036,江建霖,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病,
CGMH_LINKOU_NEURO_037,劉濟弘,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病,
CGMH_LINKOU_NEURO_038,張庭瑜,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病、頭痛、肉毒桿菌治療,
CGMH_LINKOU_NEURO_039,張健宏,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病,
CGMH_LINKOU_NEURO_040,吳秀娟,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病、神經退化性疾病、神經分子生物學,
CGMH_LINKOU_NEURO_041,張㝢智,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病,
CGMH_LINKOU_NEURO_042,李宗海,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病,
CGMH_LINKOU_NEURO_043,陳献宗,林口長庚紀念醫院,神經內科,神經內科,腦血管疾病、一般神經科,
CGMH_LINKOU_CARDIO_001,溫明賢,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心律不整、心臟血管超音波,
CGMH_LINKOU_CARDIO_002,徐子哲,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波,
CGMH_LINKOU_CARDIO_003,王朝永,林口長庚紀念醫院,心臟內科,心臟內科,二尖瓣及三尖瓣膜導管治療、心導管介入治療、支架置放、高血脂及肥胖治療,
CGMH_LINKOU_CARDIO_004,謝明哲,林口長庚紀念醫院,心臟內科,心臟內科,心導管介入性治療、心血管超音波、心臟內科學、一般內科學,
CGMH_LINKOU_CARDIO_005,沃宏達,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心律不整、心臟節律器治療、心臟血管超音波,
CGMH_LINKOU_CARDIO_006,詹益欣,林口長庚紀念醫院,心臟內科,心臟內科,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查,
CGMH_LINKOU_CARDIO_007,吳健嘉,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病之臨床照護 心臟瓣膜疾病之評估與治療 心臟衰竭之長期追蹤與治療 心臟超音波與非侵襲性心臟影像,
CGMH_LINKOU_CARDIO_008,李廣祚,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心臟超音波、心衰竭治療、一般心臟學,
